"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","sig_het"
46.4218,0.922897,0.00722022,17.8349,3.20493,4.53194,0.96123,0.00554704,23.473,4.85906,10.8989,3.17167,38.8124,16.3093,0.253232,34.274,1.51802
38.0268,0.913444,0.0131681,20.6014,3.4491,3.54618,0.988718,0.00347578,26.834,7.41557,13.6109,4.21923,35.9082,14.5216,0.234552,46.484,1.62057
40.6793,0.92342,0.0116875,19.5376,3.30713,5.17296,0.785586,0.00349126,27.8259,6.78653,9.38348,4.45482,46.1091,14.9613,0.757889,21.9622,1.4937
43.7955,0.962803,0.0101139,19.4211,3.69846,3.32884,0.995381,0.00139982,23.8565,3.73048,15.0396,4.38993,45.0705,15.3872,0.326611,62.8963,1.69212
35.6625,0.89658,0.0114358,19.6919,3.15325,4.67569,0.915532,0.0060146,24.885,5.08501,11.2272,4.30297,41.1616,15.9349,0.28583,65.5454,1.50378
41.7539,0.909858,0.00943294,18.5871,3.29109,4.21513,0.937251,0.00755534,24.0482,4.71392,8.45292,2.69864,46.551,15.8852,0.338143,44.662,1.50386
45.3044,0.916755,0.00891629,18.1927,3.44399,3.62712,0.939927,0.00589492,26.3806,6.30793,11.4901,5.18275,38.5957,16.328,0.337414,52.2332,1.61707
43.4716,0.927155,0.0146933,19.4798,3.64491,5.34997,0.895773,0.00764555,23.0093,5.14179,6.235,2.95236,50.0693,14.5529,0.158515,45.6041,1.5495
50.3124,0.89531,0.0144905,18.7831,3.85578,4.59153,0.977509,0.00984712,22.3135,5.94584,8.15613,5.70493,49.4062,14.3573,0.121488,60.2098,1.55872
41.4888,0.98239,0.0105469,17.6171,3.19086,5.70956,0.954365,0.00961015,22.0073,8.18368,8.10787,4.17205,82.4767,16.2914,0.116964,60.599,1.5302
45.0926,0.943763,0.0103563,16.8371,3.09065,4.33219,0.962401,0.0135933,21.8841,5.7503,12.7733,3.29343,37.8361,16.638,0.153869,30.056,1.42188
47.9403,0.920893,0.0148347,18.4884,3.70719,4.84919,0.909337,0.00484775,27.5724,7.80297,9.38755,4.61491,63.7214,14.4566,0.377821,54.2058,1.62188
48.6683,0.962491,0.0139635,17.1242,3.53218,6.12332,0.953428,0.00394553,23.4425,6.46588,6.85198,3.21858,67.063,16.3034,0.317568,77.7179,1.51575
42.9755,0.91025,0.0140589,19.195,3.41042,3.33357,0.990715,0.0065571,22.9978,4.26624,9.34449,2.57471,41.067,13.8424,0.125478,71.0521,1.53531
42.5861,0.950971,0.0106621,18.4514,3.32351,4.74247,0.990782,0.00550862,24.3376,5.57521,10.2325,3.44929,52.2696,15.4207,0.368417,81.4443,1.45431
47.2576,0.909754,0.0137838,17.8982,3.78528,4.59116,0.920837,0.00624049,24.9892,4.41257,10.1809,4.31571,58.0251,18.0606,0.439596,49.0128,1.5338
40.2875,0.877947,0.00958925,18.8891,3.20045,4.05616,0.946057,0.00290637,24.8521,5.42266,6.52394,3.20089,74.5064,17.564,0.653293,23.6327,1.46236
39.2657,0.956265,0.00600617,17.5066,2.9471,3.7388,0.962754,0.00702024,23.6339,6.60183,9.18902,3.61867,62.4514,17.9621,0.458996,32.3962,1.51353
38.4255,0.907106,0.00962813,20.3695,3.28868,5.1989,0.913335,0.0039943,24.9183,7.69331,12.8382,5.38199,42.5389,15.289,0.276781,73.6451,1.5681
47.5865,0.995377,0.0101764,17.7606,3.46907,4.75722,0.919641,0.00652749,23.8678,5.65553,10.2776,4.1931,54.3986,15.0771,0.313616,47.6269,1.60586
44.2193,0.951836,0.0141598,18.2094,3.6326,4.63208,0.987253,0.010767,23.305,5.17217,9.33523,3.48973,70.253,16.6886,0.097823,66.0578,1.443
36.3208,0.918199,0.0058382,20.0874,3.04381,7.25982,0.982102,0.00184742,22.9987,6.22872,7.97998,2.79686,77.2175,16.2313,0.349384,47.2506,1.57855
41.3538,0.940385,0.0113948,18.751,3.29111,3.0989,0.968796,0.0105177,25.7986,5.81519,8.9913,3.94418,56.9026,16.2945,0.199952,43.0388,1.47676
51.088,0.939893,0.010686,17.0414,3.40286,4.73051,0.979523,0.0124346,23.3218,6.10774,8.3544,3.34941,48.0627,14.7036,0.346897,68.0022,1.48837
43.3091,0.86693,0.0120885,19.7502,3.62255,4.57221,0.982256,0.00307133,24.0578,3.81662,8.77567,3.078,46.6643,14.3168,0.335426,96.6089,1.55084
44.6473,0.975931,0.0114194,17.525,3.32287,4.28356,0.982143,0.00528689,23.0044,4.63239,10.1114,3.2971,55.3481,18.2061,0.260695,55.843,1.47906
42.2785,0.972744,0.0136638,17.8629,3.22182,4.74363,0.936963,0.00949412,22.8551,6.91747,9.26252,6.38204,57.8845,15.7272,0.287006,34.9969,1.41396
45.3039,0.892331,0.00924755,18.2693,3.26848,4.67503,0.976921,0.00622325,23.4798,5.40008,7.60221,3.25752,50.6943,16.2484,0.291699,63.0961,1.50146
44.3339,0.912992,0.00895959,19.1332,3.43524,6.46466,0.924173,0.00639831,22.7168,5.4437,13.151,4.13135,39.0139,16.1439,0.22942,131.3,1.59238
44.4716,0.941169,0.00940488,17.4131,3.25491,4.50491,0.994802,0.0169584,20.6527,4.17277,9.95988,5.2164,69.3159,16.3822,0.410693,53.3915,1.50106
43.227,0.955685,0.0107231,18.7099,3.28315,4.40461,0.881645,0.012921,24.6429,6.35026,12.0001,3.54796,50.0077,15.3728,0.658356,24.2827,1.57358
44.0071,0.968124,0.0128974,18.1695,3.38498,4.43139,0.982896,0.015294,21.3982,4.90323,13.9377,3.92137,48.3587,15.4905,0.261481,40.2729,1.46449
41.8006,0.945015,0.00616327,17.4729,2.9001,4.10301,0.99648,0.00934941,24.2142,5.85046,11.6553,4.22066,54.488,16.087,0.303488,74.2787,1.46653
39.9655,0.849603,0.00795579,20.014,3.28389,3.6993,0.972998,0.00475863,25.185,4.70115,9.17356,3.09443,57.2231,16.7584,0.193622,97.7108,1.5539
40.7418,0.990938,0.00986536,16.4496,2.95547,4.28723,0.933174,0.00885999,24.1575,6.42159,12.2446,4.36626,54.3504,17.7123,0.472167,36.1049,1.49793
45.6943,0.907189,0.0127372,20.7744,3.93913,4.53007,0.965041,0.00634175,23.1542,5.51626,11.2784,4.2178,37.7999,13.4335,0.733811,23.9369,1.59793
42.3444,0.974242,0.0136827,17.1314,3.17165,4.147,0.916947,0.0157387,21.1199,4.44027,10.7928,4.16323,35.7872,16.932,0.311616,70.76,1.42381
42.3817,0.952995,0.0123786,18.343,3.46896,6.7931,0.963043,0.0098429,20.6629,7.13432,8.3942,4.64373,74.0885,16.3937,0.231719,83.3142,1.49128
41.0027,0.937683,0.00921516,18.4868,3.22147,5.27562,0.965247,0.00453269,23.5609,5.1631,7.90322,3.49221,70.5923,16.8976,0.223988,73.5569,1.52497
49.5659,0.931306,0.0125589,17.5221,3.40386,3.64419,0.951917,0.00472709,27.2443,7.75566,9.56003,4.10396,43.0133,14.8625,0.223077,36.4063,1.48819
43.6286,0.956783,0.00948036,16.8598,3.09286,4.56118,0.960473,0.00760478,25.4374,7.29276,6.91273,3.86574,71.6007,16.7903,0.12073,55.3441,1.43145
40.8932,0.971361,0.00771673,17.4643,3.11378,2.34522,0.981031,0.00183965,27.7026,4.19168,10.8687,3.08438,41.4835,16.9278,0.214602,78.7003,1.537
49.7419,0.920527,0.0119114,17.1415,3.40556,4.06529,0.956358,0.0124146,22.8864,5.11584,9.63368,3.77094,40.8525,15.6942,0.318141,38.3194,1.39442
46.6778,0.845523,0.00901605,18.7539,3.46206,3.09453,0.867232,0.00474949,30.1321,6.87119,11.3268,4.66,41.9027,15.6821,0.30706,32.8728,1.60822
41.4818,0.916739,0.0118556,19.1437,3.31781,3.69584,0.965453,0.00705501,25.1074,6.78427,6.38004,2.92922,73.1275,15.4099,0.631004,20.6688,1.50207
40.851,0.782955,0.0102824,21.8162,3.77264,2.5863,0.958891,0.00182708,27.6988,5.28113,9.3781,4.16141,43.7659,15.5449,0.293843,23.4323,1.60433
46.1879,0.884324,0.00711573,16.6991,3.08412,3.6116,0.952986,0.00634933,27.2572,6.39892,8.94893,5.9874,70.2013,17.8411,0.227047,26.9269,1.51238
45.1423,0.924186,0.0123174,16.9826,3.28651,5.42649,0.983829,0.00978706,24.6294,6.68408,6.25812,3.11302,57.5417,17.3736,0.333154,70.4551,1.49697
